RB,Responsible Party,Place (Facility),WDID,Violation ID,Violation Type,Priority Violation,Violation Program,Status, Date Occured,Violation Description,Comments,Corrective Action,Enforcement Action ID,Enforcement Action,EA Order Number,EA Effective Date,County,Staff,Discovery Date
5F,Flavio Martins,F&S Brasil Dairy,5D165056001,1111713,Order Conditions,B,ANIWSTCOWS,Violation,1/3/23,Standing water observed in the southern portion of the corrals is a violation of Production Area Specification D.6. ,,,null,null,null,null,Kings,Lewis Lummen,null
5F,Flavio Martins,F&S Brasil Dairy,5D165056001,1111714,Order Conditions,B,ANIWSTCOWS,Violation,1/3/23,"Waste applications to crops indicated by the 2017 Annual Report have resulted in nitrogen balance ratios in excess of 1.65. Nutrient applications resulting in nitrogen balance ratios in excess of 1.65 are in violation of Land Application Specification E.5.a and Attachment C, Technical Standards for Nutrient Management, Nutrient Application Rates, Nitrogen, section B.2.a.",,,null,null,null,null,Kings,Lewis Lummen,null
8,American Beef Packers Inc,American Beef Packers,8 366022001,1113150,Reporting -> Late Report,B,ANIWSTCOWS,Dismissed,1/15/23,"Failure to submit a complete Annual Monitoring Report for the 2022 calendar year by the January 15th deadline, as required by Section XI.A.3, Attachment B of Order No. R8-2018-0001.  *** Dismissed:Annual Report for the 2022 calendar year was submitted on February 22, 2023.","On November 17, 2022, A notification letter was mailed to the Discharger with attached required forms (Form 2: Summary Report of Weekly Storm Water Management Structure Inspections, Form 3: Annual Report, Form 4: Manure Tracking Manifest). ",A complete Annual Report for the 2022 calendar year must be submitted.,451304,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),null
6B,Dutch Dairy Mike Devries,Dutch Dairy,6B368010001,1113575,Order Conditions,B,ANIWSTCOWS,Violation,1/19/23,"During a site inspection on 1/19/23, ponding was observed in some corrals, as well as elevated levels of manure in corrals following a storm event. Muddy tracks with ponding were observed and not following best management practices after a storm event.","This violation was observed during a site inspection on January 19, 2023. ",Discharger must remove manure from the corrals and take measures to ensure best management practices are followed. ,452760,Oral Communication,null,1/19/23,San Bernardino,Sergio Alonso,1/19/23
8,Robert Feenstra,Archibald Ranch,8 366039001,1113628,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,"Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline, as required by Section XI.A.3 of Attachment B of Order No. R8-2018-0001.",,,451350,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),null
8,"Venegas, Art",Art Venegas Dairy - Euclid,8 365975001,1113632,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451353,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,"Batista, Zach",Batista Family Farm LLC,8 366013001,1113654,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451370,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,Frank Souza,Frank Souza Dairy - Euclid,8 365465001,1113655,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,2022 Annual Report was submitted and received on 02-23-2023. Missing Form 4: Manure manifest. ,,451371,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,"Borba, George",George Borba & Son Dairy,8 365291001,1113656,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,2022 Annual Report was received on 03/03/2023 from George Borba. ,,451372,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,"De Jong, Arie",Hollandia Farms North,8 335691001,1113657,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,2022 Annual Report was received on 08/25/2023. ,,451373,Notice of Violation,null,2/7/23,Riverside,Michael  Kashak(+),1/16/23
8,LaBrucherie Bros LLC,LaBrucherie Bros LLC - Schaefer,8 366020001,1113658,Reporting -> Late Report,B,ANIWSTCOWS,Violation,2/7/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451374,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),2/7/23
8,"Bouma, Peter",P & D Dairy #3,8 365994001,1113659,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451375,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,Josh de Jong,Ramona Dairy #2,8 335705001,1113660,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451376,Notice of Violation,null,2/7/23,Riverside,Michael  Kashak(+),1/16/23
8,Josh de Jong,Ramona Dairy,8 335695001,1113661,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451377,Notice of Violation,null,2/7/23,Riverside,Michael  Kashak(+),1/16/23
8,Southwest Dairy Inc,Legend Dairy Farms - 8185 Edison,8 366043001,1113662,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,Submitted by Betsy Hunter on 03/09/2024.,,451378,Notice of Violation,null,2/7/23,San Bernardino,Daric  Ameye(+),1/16/23
8,Frank Souza,Souza Dairy,8 366023001,1113664,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,NOV issued 2/7/2023 for failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline. ,2022 Annual Report was submitted and received on 02-23-2023. Missing Form 4: Manure manifest. ,,451379,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,Frank Souza,Zephyr Dairy,8 366027001,1113665,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline. ,2022 Annual Report was submitted and received on 02-23-2023. Missing Form 4: Manure manifest. ,,451380,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
5S,Double D Dairy,Double D Dairy,5B50NC00024,1116404,Other Codes,A,ANIWSTCOWS,Violation,3/1/23,"Standard Provision B.17, Animal waste storage areas and containment structures shall be designed, constructed, and maintained to limit, to the greatest extent possible, infiltration, inundation, erosion, slope failure, washout, overtopping, by-pass, and overflow.",,,null,null,null,null,Stanislaus,Daniel Gamon,3/1/23
5S,Joe Xavier Dairy,D Barcelos Dairy,5B24NC00218,1116736,Other Codes,B,ANIWSTCOWS,Violation,5/15/23,Primary wastewater storage lagoon with zero freeboard. Primary wastewater storage lagoon does not contain a freeboard / depth marker. Primary wastewater storage lagoon discharging wastewater and slurry manure off-property. Failure to manage wastewater/solid manure at the manure storage area and south of the manure storage area. Corral run-off discharging to cropland. StoringExcessive weeds on the primary and secondary wastewater storage lagoon embankments. wastewater and slurry manure on cropland. ,,,null,null,null,null,Merced,Sean  Walsh,5/15/23
5S,"Garcia, Tony",Tony & Fatima Garcia Dairy,5B50NC00097,1116762,Other Codes,B,ANIWSTCOWS,Violation,5/9/23,"Current violations including ponding in the corrals, freeboard requirements, and rodent holes, along with the discharge to cropland that happened the week prior. The discharge of corral wastewater to cropland is a violation of Dairy General Order Prohibition A.9. The ponding of wastewater in corrals and solid waste storage areas is a violation of Dairy General Order Production Area Specification D.6. The minimal amount of freeboard in the wastewater storage lagoon is a violation of Dairy General Order Pond Specification C.1. The excessive rodent holes in the embankments of the wastewater storage lagoon and settling basin are a violation of Dairy General Order Specification B.1 and MRP, A, Table 1.","Discharger has to address all issues., notify staff and staff will reinspect.",1. Immediately discontinue non-nutrient recycling discharges of wastewater with manure constituents from corrals to cropland. 2. Regrade corrals or install infrastructure to promote wastewater drainage to the lagoon by no later than 28 June 2023; notify staff and staff will reinspect. 3. Immediately increase the freeboard within the ponds to be greater than 2 feet. 4. Abate burrowing animals from lagoon embankments and repair/backfill defects on lagoon embankments,null,null,null,null,Stanislaus,Daniel Gamon,5/9/23
5S,"Pond, Judith",Judith Pond Property,5B34NC00033,1116800,Order Conditions,B,ANIWSTCOWS,Violation,1/3/23,Excessive vegetation/weeds inside the settling basin.,Remove excessive vegetation/weeds. Provide photos of the settling basin after the weeds have been removed.,,null,null,null,null,Sacramento,Sean  Walsh,1/3/23
5S,"Veldhuis, Ray & Jeanette",Veldhuis North Dairy,5B24NC00033,1116818,Other Codes,B,ANIWSTCOWS,Violation,5/15/23,Discharge of wastewater from tailwater pond. Minimal amount of freeboard in the wastewater Storage lagoon.,Repair tailwater pond. Provide proof of repaired tailwater pond. Achieve the required freeboard in the storage lagoon. Provide proof of required freeboard.,,null,null,null,null,Merced,Sean  Walsh,5/15/23
5S,"Kisst, John",Kisst Dairy,5B39NC00144,1117934,Other Codes,B,ANIWSTCOWS,Violation,3/28/23,Off-Property Wastewater Discharge. Uncontained corral runoff flowing off-property,Immediately stop discharging wastewater off-property and direct wastewater runoff to your wastewater storage ponds.,,null,null,null,null,San Joaquin,Gilberto  Corral,3/28/23
5S,"Agueda, Danny",Blue Sky Dairy,5B24NC00214,1118478,Other Codes,B,ANIWSTCOWS,Violation,7/13/23,Off-Property Wastewater Discharge. Using former fishponds for manure wastewater storage that are not considered existing or meet the Tier I/Tier II criteria. Disposal of manure wastewater on cropland for purposes other than nutrient recycling,,"By the Due Date, drain/dewater former fishponds and cease using them for wastewater storage.",453510,Notice of Violation,null,7/13/23,Merced,Gilberto  Corral,7/13/23
3,California Polytechnic State University - San Luis Obispo,"California Polytechnic University, Confined Animal Waste",3 400006001,1120065,Water Quality -> Receiving Water -> Surface Water,B,ANIWSTCOWS,Violation,1/9/23,"As a direct result of the recent series of atmospheric river events, Cal Poly experienced an overflow from the Dairy Unit wastewater storage lagoon operated under WDR Order R3-2003-35. The overflow began at approximately 12:15 on January 9th, 2023. Flow discharged through a designed relief overflow outlet at the south-east end of the primary dairy lagoon and through a series of stormwater drainage conveyances which ultimately terminate at Stenner Creek, a tributary to San Luis Obispo Creek. The discharge was reported to the California Office of Emergency Services at 13:45 (report ID 23-0251). Report of the event was also made to the Central Coast Regional Water Quality Control Board via email at 14:04. The approximate volume released from the lagoon was 53,058 gallons.",,,null,null,null,null,San Luis Obispo,James  Bishop,null
5F,"SC Critchley, Inc.","All Seasons Logistics, LLC",5C54NC00111,1121944,Reporting -> Late Report,B,ANIWSTCOWS,Violation,7/4/23,Failure to submit the 2022 Annual Report by 1 July 2022,,,455067,Notice of Violation,null,10/26/23,Tulare,Lorin  Sutton,7/4/23
5F,Ajmail Singh Sangha and Parajmeet Kour Sangha,Former F and J Delano Dairy,5D545161N01,1121945,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,7/3/23,Failure to submit the 2022 Annual Report.,,submit the 2022 annual report,455069,Notice of Violation,null,10/26/23,Tulare,Lorin  Sutton,7/3/23
5S,"Silva, Arthur F & Tina",Art Silva and Son Dairy,5B50NC00058,1123532,Other Codes,B,ANIWSTCOWS,Violation,9/20/23,"All process wastewater applied to land application areas must infiltrate completely within 72 hours after application. Weeds shall be minimized through control of water depth, harvesting, or other appropriate method.",,,455717,Notice of Violation,null,2/1/24,Stanislaus,Bryan  Botsford,9/20/23
8,Craig Gordon,Gordon Dairy #4,8 366004001,1124764,Unauthorized Discharge,B,ANIWSTCOWS,Violation,2/23/24,"On February 23, 2024, at approximately 10:45 AM, Santa Ana Water Board staff observed liquid discharging on to Eucalyptus Avenue from a containment pond located at Gordon Dairy #4. The liquid appeared to flow west on Eucalyptus Avenue to Bon View Avenue.",,,456085,Notice of Violation,null,2/29/24,San Bernardino,Michael  Kashak(+),null
5F,Gerben Leyendekker,East View Dairy,5D545171001,1125157,Order Conditions,B,ANIWSTCOWS,Violation,2/15/23,Standing wastewater at the northeast and central portions of the livestock corrals and at the manure storage/drying areas is a violation of Production Area Specification D.6. ,,Submit a description of the measures that have been taken to assure wastewater will be conveyed in the future to the wastewater retention system within 72 hours following a storm event.,null,null,null,null,Tulare,Lorin  Sutton,2/15/23
5F,Gerben Leyendekker,East View Dairy,5D545171001,1125158,Order Conditions,B,ANIWSTCOWS,Violation,2/15/23,"The Waste Management Plan has not been updated to reflect existing conditions at the Dairy, notably the expansion of the production area by the addition of the manure drying area.  ","As a result, the 2014 Revised Waste Management Plan does not provide an accurate estimate of required wastewater capacity. This is a violation of Required Reports and Requirements J.1.B.",Submit an engineering report assessing whether the wastewater retention system has sufficient capacity to retain the wastewater generated during the Order designated storage period.,null,null,null,null,Tulare,Lorin  Sutton,2/15/23
5F,"Leyendekker,Gerben & Pauline V TR",G-P Dairy,5C54NC00060,1125161,Order Conditions,B,ANIWSTCOWS,Violation,2/15/23,Standing water observed at the northwest livestock corrals more than 72 hours following a storm event is a violation of Production Area Specification D.6.,,Submit a description of the measures that have been taken to assure wastewater will be conveyed in the future to the wastewater retention system within 72 hours following a storm event.,null,null,null,null,Tulare,Lorin  Sutton,2/15/23
5F,"Martin, Louie",Fernjo Dairy #2,5C54NC00151,1125171,Order Conditions,B,ANIWSTCOWS,Violation,6/2/23,Mixed manure and animal carcass remains noted at the borrow pit represent inappropriate mortality management practices. ,Disposal of dead animals at the Dairy is a violation of Prohibition A.6 and the Operations and Maintenance Plan for the Dairy.,Submit documentation that mixed manure and animal carcass remains have been appropriately disposed.,null,null,null,null,Tulare,Lorin  Sutton,6/2/23
5F,"Martin, Louie",Fernjo Dairy #2,5C54NC00151,1125172,Order Conditions,B,ANIWSTCOWS,Violation,6/2/23,Wastewater within the borrow pit more than 72 hours following a storm event is a violation of Production Area Specification D.6. ,,"Submit documentation that standing wastewater, residual manure, and manure affected soils have been removed from the borrow pit and either conveyed to the wastewater retention system or appropriately used for nutrient recycling.",null,null,null,null,Tulare,Lorin  Sutton,6/2/23
5F,"Hettinga, Steve",Avenue 128 Dairy,5D545013N01,1125305,Order Conditions,B,ANIWSTCOWS,Violation,2/1/23,"Erosion along the sidewall of the wastewater storage pond is a violation of Standard Provisions and Reporting Requirements (SPRR), Provision B.17 and inconsistent with the Operations and Maintenance Plan (O&M Plan) prepared for the Dairy.","The noted condition represents a violation of Standard Provisions and Reporting Requirements (SPRR), Provision B.17 and inconsistent with the Operations and Maintenance Plan (O&M Plan) prepared for the Dairy, as required by Attachment B, Waste Management Plan for the Production Area, Paragraph V.B.",Completed.,null,null,null,null,Tulare,Lorin  Sutton,2/1/23
5F,"Mendes, Eddie",Georgenson Dairy,5D165030001,1125679,Order Conditions,B,ANIWSTCOWS,Violation,10/19/23,"Manure and wastewater appear to have been applied within a declared land application area northwest of the production area and non-production area south of the production area at non-agronomic rates, in violation of Prohibition A.9, which prohibits land application of manure or process wastewater for purposes other than nutrient recycling.",,,456518,Notice of Violation,null,4/9/24,Kings,Lewis Lummen,null
5F,"Mendes, Eddie",Georgenson Dairy,5D165030001,1125680,Reporting -> Failure to Notify,B,ANIWSTCOWS,Violation,10/19/23,"A Priority Reporting of Significant Events (PROSE) notification of noncompliance with Prohibition A.9 (cited above) was not provided within 24 hours of becoming aware of its occurrence, nor was a written report submitted within two weeks of its occurrence, in violation of the MRP, Section C, Reporting Requirements.",,,456518,Notice of Violation,null,4/9/24,Kings,Lewis Lummen,null
5F,"Mendes, Eddie",Georgenson Dairy,5D165030001,1125681,Reporting -> Late Report,B,ANIWSTCOWS,Violation,10/19/23,"Failure to submit a revised Flood Study as requested in 19 June 2018 Inspection Report, in violation of Required Reports and Notices J.1.b.",,,456518,Notice of Violation,null,4/9/24,Kings,Lewis Lummen,null
5F,"Mendes, Eddie",Georgenson Dairy,5D165030001,1125682,Reporting -> Late Report,B,ANIWSTCOWS,Violation,10/19/23,Failure to submit a new Report of Waste Discharge (RWD) for the expansion of the Dairy’s Production Area ,,,456518,Notice of Violation,null,4/9/24,Kings,Lewis Lummen,null
5S,Art Silva Dairy #2,Art Silva Dairy,5B50NC00146,1125820,Other Codes,B,ANIWSTCOWS,Violation,1/23/24,"Updated Waste Management Plan is required to be maintained, backflow prevention to surface water is required. 2 feet of freeboard is required in wastewater storage ponds, stormwater sampling is required to be performed.",,,456533,Notice of Violation,null,4/10/24,Stanislaus,Bryan  Botsford,1/23/24
5F,"Garcia, Eduardo",Hacienda Feedlot,5D155081N01,1126225,Reporting -> Late Report,B,ANIWSTCOWS,Violation,7/1/23,"Failure to submit the 2022 Annual Report in accordance with Water Code Section 13267, Provisions H.4 of Order R5-2017-0058.",,,456674,Notice of Violation,null,1/17/24,Kern,Brian D Hitz,null
5S,"Soares, Jose and Teresa",Jose & Teresa Soares Dairy,5B24NC00288,1126443,Order Conditions,B,ANIWSTCOWS,Violation,1/11/24,The 2011 WMP shows the Dairy doesn’t meet the required storage capacity,,,null,null,null,null,Merced,Lamyae Zinebi,null
5S,"Belo, Antonio",Belo Dairy,5A52NC00042,1128440,Other Codes,B,ANIWSTCOWS,Violation,1/19/24,Failure to manage manure. Large stockpiles of solid and slurry manure being store outside a dedicated storage impoundment. Failure to manage wastewater storage lagoon. Zero (0) freeboard at the primary wastewater storage lagoon.,,,457172,Notice of Violation,null,6/4/24,Tehama,Sean  Walsh,1/19/24
5F,"Avalon Dairy Farms, LLC",Avalon Dairy Farms,5D155093001,1128451,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the manure storage area which is a violation of Production Area Specification D.6. Klay Mittel of Sentry Ag Services, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved. ",,,457183,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,"Bidart Dairy II, LLC(+)",Bear 5 Feedlot,5D155059N01,1128453,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the northeastern livestock corrals which is a violation of Production Area Specification D.6. Klay Mittel of Sentry Ag Services, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved. ",,,457185,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,"Rosa, Manuel",Faial Farms Dairy,5C15NC00038,1128456,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the western livestock corrals which is a violation of Production Area Specification D.6. Dominic Patino of Icon Agricultural, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved.",,,457186,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,"Bos, John & Andi Bos",Maple Dairy,5D155058002,1128457,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the northern livestock corrals which is a violation of Production Area Specification D.6. Dominic Patino of Icon Agricultural, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved.",,,457188,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,"Echeverria, Juan",Maya Dairy,5C15NC00050,1128458,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the northwestern livestock corrals and hay storage area which is a violation of Production Area Specification D.6. Klay Mittel of Sentry Ag Services, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved. ",,,457189,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,Pete and Agnes de Jong Family Trust,Oasis Holsteins Dairy,5D155065001,1128459,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,Standing wastewater was observed more than 72 hours after a storm event in the southern livestock corrals and feed storage area which is a violation of Production Area Specification D.6. Bruce Livingston of Livingston Dairy Consulting provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved.,,,457190,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,"De Boer, Pete",Peterson Dairy,5D155086N01,1128461,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the northern livestock corrals which is a violation of Production Area Specification D.6. Klay Mittel of Sentry Ag Services, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved.",,,457191,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,Trilogy Dairy,Trilogy Dairy,5C15NC00046,1128468,Order Conditions,B,ANIWSTCOWS,Violation,2/13/24,"Standing wastewater was observed more than 72 hours after a storm event in the northern livestock corrals which is a violation of Production Area Specification D.6. Dominic Patino of Icon Agricultural, LLC provided documentation after the inspection showing the observed standing wastewater had been removed. This violation has been resolved. ",,,457193,Oral Communication,null,6/5/24,Kern,Brian D Hitz,null
5F,Black Oak LLC,Black Oak LLC,5C10NC00088,1128514,Reporting -> Late Report,B,ANIWSTCOWS,Violation,10/23/23,Failure to submit the 2022 Annual Report.,,,457220,Notice of Violation,null,10/26/23,Fresno,Jameela Zaghmouri,null
5F,Carlos Costa,"J and A Dairy, LLC",5D165083001,1129315,Order Conditions,B,ANIWSTCOWS,Violation,1/19/24,"Staff visited the facility in response to a complaint email from the Santa Rosa Rancheria Tachi-Yokuts Tribe stating J and A Dairy, LLC had applied waste to land they own without permission. Upon arrival, a standing wastewater pond and large manure pile were observed on land owned by the Santa Rosa Rancheria Tachi-Yokuts Tribe.",,,null,null,null,null,Kings,Lewis Lummen,1/26/24
5F,A&M Farms,A & M Farms Dairy,5C10NC00061,1129480,Deficient Monitoring,B,ANIWSTCOWS,Violation,11/20/23,"A wastewater sample was not documented, as required by the Monitoring and Reporting Program (MRP), Table 2, Nutrient Monitoring, Process Wastewater, for one quarter in 2018, 2020, and 2021",,,null,null,null,null,Fresno,Jameela Zaghmouri,11/20/23
5F,A&M Farms,A & M Farms Dairy,5C10NC00061,1129481,Deficient Monitoring,B,ANIWSTCOWS,Violation,11/20/23,"A manure sample was not documented, as required by the Monitoring and Reporting Program (MRP), Table 2, Nutrient Monitoring, Manure, for one sample in 2017, 2018, 2019, 2021, 2022, and both samples in 2020",,,null,null,null,null,Fresno,Jameela Zaghmouri,11/20/23
