Facility Name,Operator Name,Facility Address,Facility City,County,Latitude,Longitude,Reg Measure,WDID,Place ID,Animal Start Date,Animal End Date,Cafo Subtype,Milking Cows,Dry Cows,Heifers,Calves,Other,Other Type
4-H Calf Ranch,Gerben Hettinga,9200 Edison Avenue,Ontario,San Bernardino,33.997307,-117.603382,211757,8 365775001,202610,,,Calf feedlots,0,0,0,4500,0,
American Beef Packers,American Beef Packers Inc.,7777 Schaefer Avenue,Ontario,San Bernardino,34.00437,-117.63346,399659,8 366022001,763376,,,Cattle or cow/calf pairs,0,776,21,,16,Unknown
Art Venegas Dairy - Euclid,Art Venegas,13835 Euclid Avenue,Ontario,San Bernardino,34.00245,-117.65056,374119,8 365975001,752320,,,Mature dairy cattle,90,25,60,20,,
Boersma Dairy,Peter Boersma,4050 Ramona Expressway,San Jacinto,Riverside,33.83381,-117.05547,209493,8 335675001,209966,,,Mature dairy cattle,872,140,140,130,0,
Boys Republic Farm,Boys Republic,1907 Boys Republic Drive,Chino Hills,San Bernardino,33.99642,-117.72365,378852,8 365989001,765780,,,Cattle or cow/calf pairs,0,77,23,40,5,Horses
Chino Valley Dairy #1,Chino Valley Dairy,2733 Cottonwood Avenue,San Jacinto,Riverside,33.79071,-117.01701,441498,8 335715001,259493,,,Mature dairy cattle,1050,150,300,0,,
Chino Valley Dairy #2,Chino Valley Dairy,36580 Ramona Expressway,San Jacinto,Riverside,33.823518,-117.028852,441501,8 335716001,222210,,,Mature dairy cattle,400,65,0,0,,
Dick Van Dam Dairy,Dick Van Dam,3180 Cottonwood Avenue,San Jacinto,Riverside,33.78747,-116.98983,209407,8 335507001,630542,,,Mature dairy cattle,1340,130,1200,200,0,
Dyt Dairy,Dyt Dairy,32300 Ramona Expressway,Lakeview,Riverside,33.839874,-117.101097,442133,8 335717001,233848,,,Mature dairy cattle,1700,290,247,150,,
El Dorado Dairy #2,Edward Haringa,13566 Bon View Avenue,Ontario,San Bernardino,34.007269,-117.636919,332823,8 365952001,270292,,,Mature dairy cattle,400,0,0,0,,
GH Dairy - Expressway Dairy,Gerben Hettinga,35500 Ramona Expressway,San Jacinto,Riverside,33.83402,-117.04594,397102,8 335708001,630500,,,Mature dairy cattle,549,67,115,,5,Bulls
Falloncrest Farms,Ronald Pietersma,8300 Pine Avenue,Chino,San Bernardino,33.95891,-117.62346,301923,8 365938001,630612,,,Heifers (non dairy affiliated),0,0,0,0,0,
Frank Souza Dairy - Euclid,Frank Souza,16185 Euclid Avenue,Chino,San Bernardino,33.958315,-117.650534,211674,8 365465001,225291,,,Calf feedlots,0,0,0,2200,0,
GH Dairy - Hemet,Gerben Hettinga,1455 North Cawston Avenue,Hemet,Riverside,33.77187,-117.01765,419701,8 335712001,248091,,,Mature dairy cattle,558,100,2,,3,Bulls
GH Dairy #4,Gerben Hettinga,8061 Edison Avenue,Ontario,San Bernardino,33.997681,-117.629148,388828,8 365998001,234045,,,Mature dairy cattle,401,141,288,,8,Bulls
GH Dairy #5,Gerben Hettinga,8929 Chino Avenue,Ontario,San Bernardino,34.012341,-117.610376,399895,8 366024001,263066,,,Mature dairy cattle,913,161,963,,26,Bulls
GH Dairy #6,Gerben Hettinga,7938 Schaefer Avenue,Ontario,San Bernardino,34.004938,-117.632081,412019,8 366032001,248158,,,Heifers (non dairy affiliated),,,217,,,
GH Dairy #7,Hein Hettinga,10573 Edison Avenue,Ontario,San Bernardino,33.99722,-117.5732,451918,8 366048001,755742,,,,992,291,2112,,14,Bulls
Gordon Dairy #3,Craig Gordon,14213 Bon View Avenue,Ontario,San Bernardino,33.99491,-117.63565,388890,8 366001001,229393,,,Mature dairy cattle,300,50,50,20,,
Gordon Dairy #4,Craig Gordon,14451 South Bon View Avenue,Ontario,San Bernardino,33.991243,-117.636781,390356,8 366004001,241364,,,Heifers (non dairy affiliated),0,0,900,0,,
Gordon Dairy #5,Craig Gordon,14400 South Grove Avenue,Ontario,San Bernardino,33.992338,-117.628078,390358,8 366005001,233766,,,Mature dairy cattle,393,57,0,0,,
Gordon Dairy #9,Craig Gordon (Sold to County?),13752 Bon View Avenue,Ontario,San Bernardino,34.003609,-117.636869,442661,8 366042001,229610,,,Heifers (non dairy affiliated),0,0,1300,0,1129,Steer
Bryan and Sons LLC (Gordon Hay Inc Dairy #8),Craig Gordon (Bryan Vander Dussen),13575 Walker Avenue,Ontario,San Bernardino,34.007437,-117.618783,399452,8 366019001,270237,1/1/23,9/15/23,Mature dairy cattle,485,90,10,0,0,
El Dorado Dairy #1 (Green Acres Dairy) ,Edward Haringa,7322 & 7439 Chino Avenue,Ontario,San Bernardino,34.011594,-117.647009,211695,8 365559001,227860,,,Mature dairy cattle,400,0,0,0,,
Green Acres Heifer Ranch,Edward Haringa,7520 Schaefer Avenue,Ontario,San Bernardino,34.004896,-117.640807,332824,8 365953001,270163,,,Heifers (non dairy affiliated),0,0,700,0,,
Haringa Farms Heifer Ranch,Rudolph Haringa,13450 Bon View Avenue,Ontario,San Bernardino,34.00993,-117.63725,334481,8 365955001,270294,,,Heifers (non dairy affiliated),0,0,380,60,,
Herman De Jong Dairy,Herman De Jong,31910 Corydon Road,Wildomar,Riverside,33.628543,-117.294932,209372,8 335234001,230143,,,Mature dairy cattle,68,10,25,10,,
Hettinga Dairy - San Jacinto,Hein Hettinga,1861 North Warren Road,San Jacinto,Riverside,33.819873,-117.033696,209395,8 335470001,230193,,,Calf feedlots,0,0,0,4200,0,
Hettinga Ranch - Lake Mathews,Hein Hettinga,15250 El Sobrante Road,Riverside,Riverside,33.8556,-117.39068,209391,8 335464001,230195,,,Heifers (non dairy affiliated),0,0,975,0,0,
Hollandia Farms North,Arie De Jong,35600 Ramona Expressway,San Jacinto,Riverside,33.82905,-117.04107,367324,8 335691001,630505,,,Mature dairy cattle,2500,350,0,0,0,
Jim Bootsma Jr. Dairy,Jim Bootsma,33100 Fernandez Road,Nuevo,Riverside,33.85542,-117.08409,209424,8 335555001,233675,,,Mature dairy cattle,1500,245,448,0,0,
LaBrucherie Bros LLC - Schaefer,LaBrucherie Bros LLC,8484 Schaefer Avenue,Ontario,San Bernardino,34.00515,-117.61972,399527,8 366020001,630584,,,Mature dairy cattle,108,5,2,2,,
Legend Dairy Farm,Legend Dairy Farms,13456 Walker Avenue,Ontario,San Bernardino,34.009381,-117.619505,440565,8 366040001,219286,,,Mature dairy cattle,1200,200,600,0,10,Bulls
Legend Dairy Farms,Ronald Pietersma,9155 Riverside Drive,Ontario,San Bernardino,34.01644,-117.60543,447460,8 366041001,219285,11/10/23,12/31/23,Mature dairy cattle,1800,300,200,0,20,Bulls
Legend Dairy Farms,Ronald Pietersma,13331 South Walker Avenue,Ontario,San Bernardino,34.009947,-117.619073,442023,8 366044001,630583,11/10/23,12/31/23,Mature dairy cattle,400,0,60,0,,
Legend Dairy Farms - 8185 Edison,Ronald Pietersma,"8185 Edison Avenue 
",Ontario,San Bernardino,33.99581,-117.62694,443996,8 366049001,204958,8/15/23,12/31/23,,0,0,250,0,0,
Legend Dairy Farms - 8311 Edison,Ronald Pietersma,8311 Edison Avenue,Ontario,San Bernardino,33.997735,-117.623403,451011,8 366045001,239652,9/1/22,12/31/23,,440,170,30,0,,
Legend Dairy Farms - 8381 Edison,Ronald Pietersma,8381 Edison Avenue,Ontario,San Bernardino,33.997391,-117.622865,451026,8 366047001,240561,2/8/23,12/31/23,,750,100,120,0,,
Legend Dairy Farms - 8485 Edison,Ronald Pietersma,8485 Edison Avenue,Ontario,San Bernardino,33.997207,-117.621119,451012,8 366046001,264438,9/2/22,12/31/23,,800,100,70,0,,
Legend Dairy Farms #6,Ronald Pietersma,13567 Whispering Lakes Lane,Ontario,San Bernardino,34.00743,-117.60655,453930,8 366050001,210100,8/15/23,12/31/23,,500,100,0,0,,
Legend Dairy Farms #7,Ronald Pietersma,9029 Schaefer Avenue,Ontario,San Bernardino,34.004778,-117.606881,453931,8 366051001,230074,8/15/23,12/31/23,Mature dairy cattle,500,50,0,0,,
Martin Bangma Dairy,Martin Bangma,8847 Schaefer Avenue,Ontario,San Bernardino,34.00314,-117.61278,211822,8 365861001,239644,,,Heifers (non dairy affiliated),0,0,20,0,0,
Marvo Holsteins #2,Michael Oosten,34860 Ramona Expressway,San Jacinto,Riverside,33.837309,-117.057814,390360,8 335701001,256862,,,Mature dairy cattle,500,0,700,0,50,Bulls
Marvo Holsteins Dairy,Marvin & Marinus Oosten,18400 Main Street,Lakeview,Riverside,33.850872,-117.085669,209422,8 335544001,239719,,,Mature dairy cattle,1500,300,800,0,0,
O & S Holsteins,John & Margie Oostdam,1970 Warren Road,San Jacinto,Riverside,33.821832,-117.033713,209432,8 335570001,201050,1/1/23,12/14/23,Mature dairy cattle,1175,200,500,575,0,
OK Cattle - Eucalyptus,Sam Sousa,7278 1/2 Eucalyptus Avenue,Ontario,San Bernardino,33.99031,-117.6505,399222,8 366016001,811589,,,Cattle or cow/calf pairs,0,148,0,0,,Beef Cattle
OK Cattle - Schaefer,Sam Sousa,13831 Euclid Avenue,Ontario,San Bernardino,34.0016,-117.65041,410041,8 366029001,829568,,,Cattle or cow/calf pairs,0,700,0,0,,Beef Cattle
OK Cattle LLC,Sam Sousa,7330 Edison Avenue,Ontario,San Bernardino,33.997581,-117.646761,211751,8 365766001,255143,,,Cattle or cow/calf pairs,0,950,0,0,,Beef Cattle
Ontario Ranch Holsteins #1 - 8535 Edison,Rudolph Haringa,8535  Edison Avenue ,Ontario,San Bernardino,33.997769,-117.618398,454366,8 366052001,259280,9/15/23,12/31/23,Mature dairy cattle,450,0,100,0,,
Ontario Ranch Holsteins #2,Rudolph Haringa,14333 Walker Avenue,Ontario,San Bernardino,33.993203,-117.618212,454368,8 366053001,239249,9/15/23,12/31/23,Mature dairy cattle,305,250,30,30,,
Oostdam Dairy,Arthur Oostdam,1710 North Warren Road,San Jacinto,Riverside,33.81687,-117.03368,327110,8 335684001,630617,1/1/23,8/24/23,Mature dairy cattle,1400,250,0,250,,
Oostdam Dairy Heifer Ranch,Art Oostdam,1655 North Ramona Boulevard,San Jacinto,Riverside,33.813062,-116.987734,403776,8 335709001,233909,1/1/23,8/24/23,Heifers (non dairy affiliated),0,0,200,0,,
P & D Dairy #3,Peter Bouma,13905 Bon View Avenue,Ontario,San Bernardino,33.999927,-117.636825,385660,8 365994001,219199,,,Heifers (non dairy affiliated),0,0,1527,0,0,
Pastime Lakes Dairy,John Bidart,34240 Ramona Expressway,Lakeview,Riverside,33.838168,-117.120338,395145,8 335706001,247758,,,Mature dairy cattle,1896,509,187,0,0,
Ramona Dairy,Josh De Jong,2451 Ramona Expressway,San Jacinto,Riverside,33.823585,-117.01558,377034,8 335695001,251581,,,Mature dairy cattle,4300,650,0,0,0,
Ramona Dairy #2,Josh De Jong,581 North Warren Road,San Jacinto,Riverside,33.795947,-117.033719,394537,8 335705001,239820,,,Mature dairy cattle,2300,300,0,0,0,
Riverbed Dairy - 38980 Record,Ron & Julie Haringa,38980 Record Road,San Jacinto,Riverside,33.81701,-116.9819,382034,8 335523001,630490,,,Mature dairy cattle,3200,400,200,0,50,Angus
Scott Bros Dairy,Stan Scott,18051 Gilman Springs Road,Moreno Valley,Riverside,33.86242,-117.02599,209390,8 335458001,630602,,,Mature dairy cattle,1067,180,436,669,0,
SD Farms II,Egbert (Amos) DeGroot,7220 Chino Avenue,Ontario,San Bernardino,34.00975,-117.64743,350816,8 365965001,226592,,,Mature dairy cattle,1260,0,0,0,,
SD Farms II-2,Egbert (Amos) DeGroot,13159 Euclid Avenue,Ontario,San Bernardino,34.01333,-117.650625,399408,8 366018001,208649,,,Heifers (non dairy affiliated),0,162,89,0,0,
Simoes Dairy - Riverside,Augustine Simoes,8625 East Riverside Drive,Ontario,San Bernardino,34.019316,-117.616687,211762,8 365786001,257174,,,Mature dairy cattle,220,78,0,,33,Long Horn Cross
Souza Dairy,Frank Souza,16221 Euclid Avenue,Chino,San Bernardino,33.957784,-117.650531,399686,8 366023001,258010,,,Mature dairy cattle,460,40,70,0,0,
Tiva Dairy,Dickie Vander Meulen,7587 Edison Avenue,Ontario,San Bernardino,33.997653,-117.639275,429298,8 366036001,247791,,,Mature dairy cattle,900,200,0,0,,
William Koot Dairy - Holland,William Koot,32309 Holland Road,Winchester,Riverside,33.668632,-117.094154,407273,8 335710001,256996,1/1/23,3/22/23,Mature dairy cattle,1200,150,200,0,,
Zephyr Dairy,Frank Souza,7360 Pine Avenue,Chino,San Bernardino,33.955588,-117.642027,405094,8 366027001,239607,,,Heifers (non dairy affiliated),0,0,0,720,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Totals:,43542,9707,16867,13776,1369,