Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
4K Dairy Family Partnership,7976 84 AVE Pixley Tulare 93256,2598,271,925,943,245,955,5937,94129.38,1167341.25,817138.88,189839.51,500954.74,1285584.75,95154618.0,218154.52,45552.67,294800.98,2133457.77,72.0,0.0,0.0,0.0,0.0,218154.52,45552.67,294800.98,2133457.77,1.21,1.11,1.23,3.36,200083.05,80033.22,207653.76,0.0,218154.52,45552.67,294800.98,2133457.77,617055.8300000001,109806.29000000001,293300.98,1285584.75,32.658624,31.711523904000003,33207832.159410246,360199242.52338004,10.84681591963867,1216151.5896,1.0418132569203735,1350045.975609756,1.1565135521508865,23.582817982389138
AC Enterprises,15499 Road 72 Tipton Tulare 93272,488,110,321,148,69,89,1225,20409.01,247554.64,173288.25,40525.86,98265.74,255069.3,58000000.0,107475.26,8319.97,124874.58,915363.05,85.0,0.0,0.0,0.0,0.0,107475.26,8319.97,124874.58,915363.05,1.1,0.32,1.08,5.96,76965.36,25830.84,66158.58,0.0,107475.26,8319.97,124874.58,915363.05,96322.89,14695.02,32107.160000000003,255069.30000000005,38.55532,37.43721572,8171421.075204399,219553780.0,26.868494228772576,263684.4092,1.0651564002193616,287931.5853658537,1.1631031652884942,24.666727883736694
Adriano Nunes & Son Dairy-Farming,18675 32 RD Tulare Tulare 93274,790,144,295,300,140,109,1778,28885.28,354358.56,248050.99,57664.44,148697.14,405084.3,3874500.0,13440.94,1461.91,7616.32,89601.02,65.0,82225.3,29836.67,74837.51,47982.9,13440.94,1461.91,7616.32,89601.02,0.8,1.09,0.68,0.28,0.0,0.0,0.0,0.0,95666.24,31298.579999999998,82453.82999999999,137583.92,165825.69,27827.770000000008,73859.63000000003,357101.4,29.48348,28.62845908,9759727.984962799,14666571.045,1.5027643257678256,373197.8176,1.05316439258586,431447.8048780488,1.2175458803028458,23.242463398359305
Airoso Dairy,18809 Road 64 Tulare Tulare 93274,0,115,150,135,70,0,470,4293.01,51611.0,36127.7,7600.4,1.0,26444.25,7536000.0,3442.12,10919.31,7655.94,49937.82,1.0,81819.6,25220.8,131114.4,0.0,3442.12,10919.31,7655.94,49937.82,0.74,1.0,0.61,1.59,0.0,0.0,0.0,0.0,85261.72,36140.11,138770.34,49937.82,-45691.9,-17620.4,-131113.4,26444.250000000007,0.453592,0.440437832,18487.377998199998,28526849.76,1543.0446525611953,55465.6892,1.074687357346302,83148.78048780488,1.6110670300479526,17.531216135458166
Aukeman Farms #2 (Formerly Golden Valley Dairy,18183 S I DR Tulare Tulare 93274,0,0,0,65,125,0,190,1038.18,12556.0,8789.2,1495.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56749.1,17762.53,79641.01,200275.73,0.0,0.0,0.0,0.0,1.28,1.87,1.28,0.95,0.0,0.0,0.0,0.0,56749.1,17762.53,79641.01,200275.73,-47959.899999999994,-16266.939999999999,-79640.01,-200275.73,0.453592,0.440437832,0.0,0.0,,13413.285600000001,1.0682769671870023,14243.902439024392,1.1344299489506524,14.93522105263158
Aukeman Farms,17297 Road 96 Tulare Tulare 93274,3140,415,1935,840,640,535,7505,119861.08,1476312.03,1033418.42,241521.79,611653.87,1573898.25,67189500.0,342397.61,52348.08,278308.56,1465621.75,75.0,65952.38,12228.96,44536.25,1457557.9,342397.61,52348.08,278308.56,1465621.75,1.23,1.08,0.76,2.05,323759.19,85994.79,392281.99,0.0,408349.99,64577.04,322844.81,2923179.65,643706.8500000001,143298.03999999998,174835.6299999999,116340.3500000001,34.0194,33.0328374,42862583.989305,254339805.19500002,5.933842095438354,1548605.1536,1.0489687289210805,1720440.8536585364,1.1653639736706178,23.971631326065218
Channel Islands Dairy Farms,13406 Road 24 Corcoran Tulare 93212,8754,1062,2725,1875,875,0,15291,276279.22,3503523.59,2452466.51,579895.37,1630460.75,4366027.8,178290180.0,624549.02,114781.43,909316.99,6656655.6,62.0,0.0,0.0,0.0,0.0,150877.26,20716.99,235316.16,1646231.25,1.24,0.89,1.83,1.95,1092397.7,342635.57,1298130.5,5010424.35,150877.26,20716.99,235316.16,1646231.25,1833740.5699999996,331324.24000000005,1006331.0800000001,4366027.799999999,28.122704,27.307145583999997,97837133.48417856,674901430.2738,6.898213451674151,3569527.5223999997,1.018839300122994,4236056.463414635,1.2090846128467583,23.375757654551037
"Coronado Dairy Farms, LLC",5850 160 AVE Tipton Tulare 93272,4224,707,518,0,0,0,5449,125008.96,1607794.36,1125456.05,267563.84,814485.31,2151445.05,89115173.0,376118.77,77319.7,427704.86,3405153.86,72.0,0.0,0.0,0.0,0.0,376118.77,77319.7,427704.86,3405153.86,1.26,1.23,1.31,2.36,0.0,0.0,0.0,0.0,376118.77,77319.7,427704.86,3405153.86,1125456.05,267563.84,814485.3099999999,2151445.0500000003,32.658624,31.711523904000003,57074876.39527777,337337467.02593,5.910437101776018,1615115.7632000002,1.0045536937945223,1868986.9512195124,1.162453979014774,24.413370232589156
Cow Palace Dairy,5595 96 AVE Pixley Tulare 93256,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,31.75144,30.83064824,0.0,0.0,,,,,,
Curti Family Farms,19493 Road 30 Tulare Tulare 93274,600,0,0,0,0,0,600,14682.43,192021.3,134414.91,32373.83,110963.54,282510.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134414.91,32373.83,110963.54,282510.0,27.215519999999998,26.426269919999996,5787353.112479999,0.0,,189696.9956,0.9878955907495679,219000.0,1.1404984759503243,24.470716666666668
Curti Family Inc.,3235 Avenue 199 Tulare Tulare 93274,2600,300,1100,500,600,500,5600,86745.71,1094892.3,766424.61,177184.45,480841.99,1293195.0,49793291.0,144851.12,21777.91,182788.45,1350908.24,60.0,242246.8,81832.8,326498.6,4164103.52,144851.12,21777.91,182788.45,1350908.24,1.27,1.49,1.34,3.53,0.0,0.0,0.0,0.0,387097.92,103610.71,509287.05,5515011.76,524177.81,95351.65000000001,154343.38999999996,-2870908.5199999996,27.215519999999998,26.426269919999996,27972206.710319996,188488021.68431002,6.738403717529004,1120754.5732,1.0236208375928846,1321121.9512195121,1.206622743825591,22.312259159347555
Curtimade Dairy Inc.,18337 Road 24 Tulare Tulare 93274,3300,400,1100,1150,1000,800,7750,111615.43,1409303.56,986512.49,225675.97,599458.95,1645785.0,80683966.0,146901.35,45646.72,403646.26,2175698.07,55.0,124813.7,61479.0,213921.6,0.0,146901.35,45646.72,403646.26,2175698.07,1.31,1.82,1.73,2.44,5118.75,3375.0,9450.0,0.0,271715.05,107125.72,617567.86,2175698.07,856580.04,160821.97,376087.35,1645785.0,24.94756,24.22408076,32714621.066379998,305421891.73606,9.335944656560137,1442071.3556,1.0232510557200323,1731079.268292683,1.2283224973139804,21.54028067780654
Del Arco Dairy,4738 120 AVE Corcoran Tulare 93212,1759,171,235,0,0,0,2165,51114.47,656938.17,459856.72,110247.17,342643.04,867546.6,54021953.0,103689.71,20689.51,146105.82,950654.87,75.0,0.0,0.0,0.0,0.0,103689.71,20689.51,146105.82,950654.87,1.32,1.24,1.79,2.34,116386.7,39548.88,87007.54,0.0,103689.71,20689.51,146105.82,950654.87,343470.0199999999,70698.29000000001,255635.5,867546.6,34.0194,33.0328374,23269982.30643,204495241.10573,8.787941409359108,660398.9524000001,1.00526804889416,735831.0975609756,1.120091861249249,25.35470655132781
Delta View Farms #2 (Joseph Avila Dairy),30297 Road 56 Visalia Tulare 93291,0,0,0,400,0,0,400,3787.22,37960.0,26572.0,6424.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26572.0,6424.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,48930.882399999995,1.2890116543730241,53414.63414634147,1.4071294559099439,25.87933666666666
Delta View Farms #3,4590 Avenue 304 Visalia Tulare 93291,600,300,350,0,0,0,1250,21596.49,279986.3,195990.41,45221.83,110963.54,351495.0,17670900.0,29405.16,9593.42,65586.98,397376.08,60.0,113115.0,42560.4,142053.0,0.0,29405.16,9593.42,65586.98,397376.08,1.16,1.9,1.19,1.58,0.0,0.0,0.0,0.0,142520.16,52153.82,207639.97999999998,397376.08,82875.41,2661.4300000000003,-31089.459999999992,351495.00000000006,27.215519999999998,26.426269919999996,8681029.66872,66891601.569000006,7.705491643465727,279026.6508,0.9965725137265645,375237.8048780488,1.3402005915219737,21.00726192170819
Gregory O. Dias Dairy Farming Inc./d.b.a. Delta V,4995 Ave 304 Visalia Tulare 93291,1800,300,750,600,200,0,3650,61117.44,769148.9,538404.23,126752.19,332890.61,916515.0,26116304.0,95450.33,33908.51,200429.6,1088779.58,60.0,68946.3,62888.2,133306.8,0.0,76206.92,27449.48,159872.9,878485.58,1.15,2.99,1.61,2.44,19243.4,6459.03,40556.7,210294.0,145153.22,90337.68,293179.69999999995,878485.58,469457.93999999994,63863.99000000002,199583.81,916515.0,27.215519999999998,26.426269919999996,20255735.893679995,98860918.32464,4.880638197671488,789637.3248000001,1.0266377872997023,955676.8292682928,1.2425121186135646,22.915546776406035
Dixie Creek South,24116 28 RD Tulare Tulare 93274,1,0,1950,2315,1165,0,5431,42926.19,464623.05,325236.14,72763.82,194.79,470.85,76558021.0,141820.59,29953.38,344563.85,1662358.19,75.0,0.0,0.0,0.0,0.0,141820.59,29953.38,344563.85,1662358.19,1.19,1.0,2.61,2.35,0.0,0.0,0.0,0.0,141820.59,29953.38,344563.85,1662358.19,325236.14,72763.82,194.78999999997905,470.85000000009313,34.0194,33.0328374,12056.985650999999,289803498.27361,24036.1485583732,554606.3748,1.193669523713901,621755.243902439,1.3381928509626009,21.597155391392914
Elk Creek Dairy,18035 Road 96 Tulare Tulare 93274,1437,229,537,509,175,0,2887,53485.81,665016.89,465511.82,110619.12,289360.39,729270.0,99216000.0,324982.01,37477.06,465423.58,2448621.28,85.0,0.0,0.0,0.0,0.0,324982.01,37477.06,465423.58,2448621.28,1.24,0.74,1.5,2.76,16527.79,2969.06,7818.54,320658.91,324982.01,37477.06,465423.58,2448621.28,448984.0300000001,107650.06,281541.85,408611.09,38.55532,37.43721572,22765196.507174797,375573238.56,16.497693680862028,691036.6651999999,1.0391264877498072,755558.9024390245,1.1361499441601017,25.31624213527897
4 Star #4,20433 28 RD Tulare Tulare 93274,0,0,790,0,0,0,790,7998.79,74971.0,52479.7,12687.4,1.0,0.0,1788000.0,8449.91,1090.0,12998.07,61478.95,1.0,7212.24,2320.59,7753.87,231349.68,8449.91,1090.0,12998.07,61478.95,1.23,0.98,1.17,2.85,0.0,0.0,0.0,0.0,15662.15,3410.59,20751.94,292828.63,45267.46,10366.81,-7752.869999999999,-231349.68,0.453592,0.440437832,0.0,6768313.08,,103344.3668,1.3784578943858292,105493.9024390244,1.4071294559099439,27.67513839662447
4 Star #3 Dairy,2393 224 AVE Tulare Tulare 93274,358,60,142,120,0,0,680,12055.15,150386.51,105270.56,24969.51,66208.24,182361.3,6439500.0,21776.21,4367.36,31513.61,189184.61,60.0,18491.23,6273.64,5587.38,8963.6,21776.21,4367.36,31513.61,189184.61,1.31,1.41,0.91,1.17,0.0,0.0,0.0,0.0,40267.44,10641.0,37100.99,198148.21,86779.32999999999,18695.87,60620.86000000001,173397.69999999998,27.215519999999998,26.426269919999996,4031856.001694399,24376147.695,6.045887473351195,155752.538,1.0356815780883537,187556.58536585368,1.2471636276807918,23.460278621606225
Frank C. Lawrence Dairy,27476 Road 52 Visalia Tulare 93277,751,75,547,422,126,117,2038,31111.03,369933.35,258953.35,60887.12,143823.43,370854.6,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258953.35,60887.12,143823.43,370854.6,31.75144,30.83064824,9295132.137877598,0.0,,401954.5076,1.0865592615534665,441703.4146341464,1.1940080953343255,24.50817027245129
Friesian Farms Dairy,5593 Avenue 176 Tulare Tulare 93274,2608,292,773,1054,0,0,4727,90679.36,1113349.21,779344.45,186659.99,504596.43,1295122.2,56232000.0,47946.46,13035.88,56195.18,441314.58,73.0,202488.0,75204.0,252000.0,0.0,47946.46,13035.88,56195.18,441314.58,1.0,1.24,0.62,2.8,0.0,0.0,0.0,0.0,250434.46,88239.88,308195.18,441314.58,576856.45,111455.98999999999,252596.43,1295122.2,33.112216,32.151961736,34032851.49755599,212861175.12,6.254579494618199,1171577.3312,1.052299961842161,1302471.3414634147,1.1698677555655828,25.41166576672021
TONY COX DAIRY #2,27596 Road 68 Visalia Tulare 93277,590,50,0,0,0,0,640,15556.14,203377.93,142364.55,34037.56,111439.92,289299.0,9635000.0,36464.91,2400.28,37178.29,194713.72,66.0,0.0,0.0,0.0,0.0,36464.91,2400.28,37178.29,194713.72,1.3,0.52,1.17,1.59,114400.0,52800.0,229680.0,4922896.0,36464.91,2400.28,37178.29,194713.72,27964.54999999999,-18762.440000000002,-118240.08000000002,-4633597.0,29.937072,29.068896912,6790494.3186432,36472425.35,5.371100193673015,200985.3288,0.9882356890936986,233600.0,1.148600538908032,24.30646875
Supreme Farms LLC,2785 N Colpien Tulare Tulare 93274,250,50,0,0,0,0,300,6877.73,89517.49,62662.24,14764.13,46399.06,129210.0,5376000.0,22044.07,3910.08,49753.81,120198.79,61.0,42360.77,13504.64,24906.94,24545.6,22044.07,3910.08,49753.81,120198.79,0.68,0.82,0.64,0.4,0.0,0.0,0.0,0.0,64404.84,17414.72,74660.75,144744.38999999998,20301.47,1259.489999999998,21492.119999999995,104664.4,27.669112,26.866707751999996,2941904.4988439996,20350364.16,6.91741155023779,88860.2716,0.9926582123783854,109500.0,1.22322464582061,22.925766666666664
LK Ranches,29007 Road 56 Visalia Tulare 93277,165,0,0,0,0,0,165,4232.5,55337.72,38736.4,9368.34,31599.02,77690.25,25701000.0,68380.37,4996.83,32574.79,247217.4,70.0,306289.96,123601.44,459169.62,0.0,68380.37,4996.83,32574.79,247217.4,0.73,1.17,0.61,1.04,0.0,0.0,0.0,0.0,374670.33,128598.27,491744.41,247217.4,-267553.56000000006,-114233.1,-427570.6,77690.25000000003,31.75144,30.83064824,1856775.7902539999,97288822.41000001,52.3966452603797,54683.9,0.9881849125695819,60225.0,1.0883173358063902,25.651515151515152
Mattos Brothers #3,3912 Avenue 232 Tulare Tulare 93274,1,1,218,1,1,1,223,2184.17,21297.3,14908.11,3585.77,146.18,700.8,0.0,0.0,0.0,0.0,0.0,1.0,59118.37,16725.84,57249.39,58818.72,0.0,0.0,0.0,0.0,0.68,0.36,0.55,0.23,5080.32,1179.36,4203.36,3024.0,59118.37,16725.84,57249.39,58818.72,-49290.58,-14319.43,-61306.57,-61141.92,0.453592,0.440437832,321.51961736,0.0,,28219.4764,1.3250260079916234,30063.536585365862,1.4116125793112677,26.361780983220484
Oakview Dairy,6775 232 AVE Tulare Tulare 93274,1347,64,193,0,0,0,1604,38300.43,492087.28,344461.1,83021.33,262387.82,648951.75,44832925.0,168165.96,29186.28,278411.85,1697643.91,75.0,0.0,0.0,0.0,0.0,168165.96,29186.28,278411.85,1697643.91,0.91,0.79,1.6,2.28,123300.64,35228.75,107821.34,0.0,168165.96,29186.28,278411.85,1697643.91,221160.45999999996,47792.58,154566.47999999995,648951.7500000002,34.0194,33.0328374,17012406.753561,169711002.62425,9.975719783958636,494841.5556,1.0055971282167668,540787.5609756097,1.0989667543847297,25.850551970500117
Rio Blanco Dairy,5041 Ave. 192 Tulare Tulare 93274,1950,360,350,370,440,395,3865,66549.53,845648.68,591954.08,136720.56,379848.74,1000939.5,20593783.0,127748.39,22916.13,129376.8,619509.43,75.0,91992.0,30123.2,115533.6,0.0,127748.39,22916.13,129376.8,619509.43,1.25,1.26,0.83,1.07,0.0,0.0,0.0,0.0,219740.39,53039.33,244910.40000000002,619509.43,499962.07999999996,106597.36,264315.13999999996,1000939.5000000001,34.0194,33.0328374,27851636.853809997,77955912.10603,2.7989705781104184,859819.9275999999,1.0167578427485986,976464.024390244,1.1546923060179601,23.1162852543737
Riverview Dairy,9295 Avenue 88 Pixley Tulare 93256,2836,351,816,1052,519,337,5911,101181.76,1257968.91,880578.24,206571.58,552436.43,1416043.05,107856092.0,234389.35,41300.17,213050.65,1161169.28,75.0,163306.69,26942.59,92273.22,0.0,234389.35,41300.17,213050.65,1161169.28,1.21,0.9,0.94,0.75,281153.38,105432.52,355346.63,0.0,397696.04000000004,68242.76,305323.87,1161169.28,436118.17000000004,74196.46999999999,104816.58000000007,1416043.05,34.0194,33.0328374,38425613.269737,408279529.21772003,10.625192273489887,1307268.3391999998,1.03918970398084,1450803.780487805,1.1532906488824155,24.185417805943086
Robert Vander Eyk Dairy,9441 Avenue 104 Pixley Tulare 93272,2671,249,1450,861,0,0,5231,97678.5,1189348.46,832543.92,199901.21,524386.06,1314897.9,80699196.0,245771.73,30069.37,477185.27,2066839.12,75.0,23340.9,10645.34,14229.31,0.0,245771.73,30069.37,477185.27,2066839.12,1.24,0.85,2.01,1.9,342586.83,86906.22,251902.08,0.0,269112.63,40714.71,491414.58,2066839.12,466616.1900000001,102349.65,258254.67000000007,1314897.9,34.0194,33.0328374,35206398.10092,305479543.53036,8.676818987693528,1262006.22,1.0610903889344592,1374403.0487804879,1.1555932470627557,25.94046377562587
,   ,1880,205,295,470,435,0,3285,58537.5,742560.59,519792.41,121825.52,351391.23,932337.75,23681628.0,65973.0,14148.41,134015.67,720039.21,63.0,0.0,0.0,0.0,0.0,65973.0,14148.41,134015.67,720039.21,0.85,0.4,0.84,3.41,0.0,0.0,0.0,0.0,65973.0,14148.41,134015.67,720039.21,519792.4099999999,121825.51999999999,351391.23,932337.75,28.576296,27.747583415999998,21116604.669161398,89644671.44748001,4.245221845650059,756304.5,1.018508806129881,882543.2926829269,1.1885135092921197,23.192129294100596
S & S Dairy,5311 Avenue 272 Visalia Tulare 93277,3200,600,1150,1400,400,0,6750,119513.73,1469702.68,1028791.88,243055.79,623341.53,1644690.0,22105732.0,110283.02,13541.72,129559.13,609465.7,75.0,202914.6,67045.8,326881.8,0.0,110283.02,13541.72,129559.13,609465.7,1.18,1.49,1.13,0.82,0.0,0.0,0.0,0.0,313197.62,80587.52,456440.93,609465.7,825877.2799999999,176009.99,296459.73000000004,1644690.0000000002,34.0194,33.0328374,45816545.473799996,83679258.97012,1.8263982608198088,1544117.3916,1.050632493641503,1745323.1707317075,1.1875348629912736,24.494191102224445
Scheenstra Dairy,16800 Rd 96 Tipton Tulare 93272,3800,650,500,0,0,0,4950,112624.55,1440519.38,1008363.57,239444.27,727735.06,1938697.5,66461639.0,218669.82,36636.8,272225.8,1280464.34,70.0,172192.8,49707.6,128047.8,0.0,92378.26,17084.47,115531.73,446047.79,1.19,1.61,0.85,0.88,439853.16,139443.54,447199.67,834416.55,264571.06,66792.07,243579.53,446047.79,522609.16999999987,69845.45999999999,309181.6600000001,1938697.4999999998,31.75144,30.83064824,50076680.40381999,251584552.88699,5.023986231878869,1455109.186,1.0101281566930396,1691018.2926829269,1.173894857758128,24.309589628849697
Simoes Sandlin Family Farms,10254 Ave. 184 Tulare Tulare 93274,1113,116,319,389,0,0,1937,35343.33,444558.71,311191.1,74218.38,205837.36,550730.25,53707435.0,127858.77,35533.71,231799.69,1617171.64,60.0,0.0,0.0,0.0,0.0,127858.77,35533.71,231799.69,1617171.64,1.32,1.52,1.96,2.76,0.0,0.0,0.0,0.0,127858.77,35533.71,231799.69,1617171.64,311191.1,74218.38,205837.36,550730.2499999998,27.215519999999998,26.426269919999996,11854428.292063199,203304661.52335,17.15010260422824,456635.8236,1.0271665211553271,543128.9024390244,1.2217259278060808,23.75184857971775
Sunnyvale Dairy,2608 Avenue 199 Tulare Tulare 93274,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,,,,,
West Tulare Ag Holdings,6305 Avenue 176 Tulare Tulare 93274,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,,,,,
V2 Cattle,13902 Rd. 96 Tipton Tulare 93272,1833,219,560,496,284,0,3392,62917.47,783509.35,548456.55,129920.93,357057.82,913427.1,65684536.0,229470.49,30814.55,409205.22,2435645.24,75.0,57613.25,22696.13,54121.54,0.0,229470.49,30814.55,409205.22,2435645.24,1.23,1.22,2.07,2.76,0.0,0.0,0.0,0.0,287083.74,53510.68,463326.75999999995,2435645.24,490843.30000000005,107224.79999999999,302936.2800000001,913427.1000000001,34.0194,33.0328374,24740934.555851996,248642899.41976002,10.049858822368062,812893.7124,1.0375035248781652,902636.0975609756,1.1520425347329621,24.7487937485609
